"Manufacture
",Model Name,Year Intro,Last Year,Type,Min KG,Max KG,Length CM,Width CM,Wt KG,Vol. Liter,Hull,Manufacture Origin
 Atlantis Kayaks,Funky,2013,,Play Boat,,75,216,64,11,,Planing,Argentina
 Atlantis Kayaks,Jump,2012,,River Runner,,100,249,62,18,,,Argentina
 Big Dog,Drop Zone,2009,,Creek Boat,70,129,251,66,20,276,,UK
 Big Dog,Flux 7.3,2009,,River Runner,45,86,221,64,15,201,,UK
 Big Dog,Flux 7.7,2009,,River Runner,70,109,229,65,16,189,,UK
 Big Dog,Force 7.7,2009,,River Runner,41,91,229,65,19,231,,UK
 Big Dog,Force 8.0,2009,,River Runner,79,125,244,65,19,254,,UK
 Big Dog,Havoc 6.5,2009,,River Runner,45,86,196,64,14,193,,UK
 Big Dog,Havoc 6.9,2009,,River Runner,70,109,206,65,15,220,,UK
 Big Dog,Kaos 5.1,2009,,Play Boat,45,70,178,61,13,167,Planing,UK
 Big Dog,Kaos 6.0,2009,,Play Boat,59,86,183,64,13,182,Planing,UK
 Big Dog,Kaos 6.2,2009,,Play Boat,65,104,188,65,15,197,Planing,UK
 Big Dog,Storm,2010,,River Runner,45,110,264,66,17,,,UK
 Bliss-Stick,Blitz,2000,2010,Play Boat,,,216,66,15,185,Planing,New Zealand
 Bliss-Stick,Blitz Special,2000,2004,Play Boat,,,216,66,15,163,Planing,New Zealand
 Bliss-Stick,FJ1,,,Play Boat,,,249,69,18,215,Planing,New Zealand
 Bliss-Stick,FJ2,1999,,Play Boat,,,249,69,18,210,Planing,New Zealand
 Bliss-Stick,Flip-Stick,2002,2010,Play River Runner,,,198,66,14,189,Planing,New Zealand
 Bliss-Stick,Freestyler,2001,unk,Play River Runner,,,244,66,15,197,Planing,New Zealand
 Bliss-Stick,HUKA,2002,2015,Creek Boat,,,231,66,18,254,Disp.,New Zealand
 Bliss-Stick,Lifestyler,2001,2010,River Runner,,,246,66,19,238,Planing,New Zealand
 Bliss-Stick,MAC 1,2005,2015,Creek Boat,,,244,66,21,276,Planing,New Zealand
 Bliss-Stick,Mini Mystic,2008,2015,Creek Boat,50,84,229,62,19,242,Planing,New Zealand
 Bliss-Stick,Mystic,2006,2015,Creek Boat,,,244,66,21,276,Planing,New Zealand
 Bliss-Stick,RAD 175,2004,2015,Play Boat,,,178,65,15,168,Planing,New Zealand
 Bliss-Stick,RAD 185,2004,2015,Play Boat,,,188,66,15,193,Planing,New Zealand
 Bliss-Stick,RAD 195,2006,2015,Play Boat,,,201,69,16,210,Planing,New Zealand
 Bliss-Stick,S.C.U.D.,2006,2015,Creek Boat,,,203,66,16,250,Planing,New Zealand
 Bliss-Stick,Slick Stick,2003,2005,Play Boat,,,191,63,13,155,Planing,New Zealand
 Bliss-Stick,Smoothy,2008,2015,Play Boat,,,185,,,197,Planing,New Zealand
 Bliss-Stick,Specialist,2007,2015,Play Boat,,,206,66,15,178,Planing,New Zealand
 Bliss-Stick,Super RAD 180,2005,2015,Play Boat,,,183,66,16,185,Planing,New Zealand
 Bliss-Stick,Tuna,2011,2015,Creek Boat,59,118,259,67,21,299,Disp.,New Zealand
 Brudden Kayaks,Samba,2004,,Play Boat,50,85,213,55,15,152,Planing,Brazil
