ID,Manufacture,Model Name,Year Intro,Last Year,Type,Min Weight,Max Weight,Length,Width,Weight,Vol,Hull
3,DragoRossi,77,,Current,Creek Boat,,,254,64,20.4,290,
4,DragoRossi,88,,Current,Creek Boat,,,259,65,20.9,314,
5,Soul Waterman,303,2019,Current,Slalom,64,104,305,63,17.0,227,
6,Exo Kayak,313,2006,,Creek Boat,,,315,63,19.1,280,
7,Riot Kayaks,007,1998,,Play River Runner,58,127,221,64,16.8,219,
8,Pyranha,12R,,Current,River Runner,60,125,366,62,25.9,386,Disp.
9,Prijon,2B,2018,Current,Tandem,,,368,69,37.0,,
10,Jackson Kayaks,2Fun,2010,2015,Play River Runner,50,70,188,62,,184,Planing
11,Jackson Kayaks,2Fun,2015,2015,Play River Runner,50,70,188,62,13.6,182,Planing
12,Jackson Kayaks,2Fun,2016,2016,Play River Runner,50,70,201,62,12.7,193,Planing
13,Jackson Kayaks,2Fun,2016,,Play River Runner,50,70,201,62,12.7,193,Planing
14,Jackson Kayaks,2Fun,2007,2010,Play River Runner,,,,,,,
15,Jackson Kayaks,2Fun Classic,2004,2007,Play River Runner,50,73,190,61,12.2,174,Planing
16,Perception,3D,1998,2000,Play Boat,54,109,249,64,17.2,212,Planing
17,Jackson Kayaks,4 Fun,2015,,Play River Runner,73,113,218,67,15.9,254,Planing
18,Jackson Kayaks,4 Fun,2007,2008,Play River Runner,75,100,203,69,15.4,238,Planing
19,Jackson Kayaks,4 Fun,2010,,Play River Runner,75,100,203,68,,238,Planing
20,Jackson Kayaks,4 Fun,2011,2014,Play River Runner,86,100,218,67,15.0,246,Planing
21,Jackson Kayaks,4 Fun Classic,2004,2007,Play River Runner,73,91,206,65,13.6,208,Planing
22,Pyranha,4Twenty M/L,2005,,Play Boat,64,100,190,64,13.6,220,Planing
23,Pyranha,4Twenty S/M,2005,,Play Boat,39,75,185,64,12.7,174,Planing
24,Pyranha,9R,,Current,River Runner,59,95,272,64,19.5,295,Planing
25,Pyranha,9R II Lg,2020,Current,River Runner,75,125,287,66,23.1,341,
26,Pyranha,9R II Md,2020,Current,River Runner,65,100,272,65,21.8,310,
27,Pyranha,9R-L,,,Creek Boat,75,125,272,68,22.7,341,Planing
28,Wavesport,Ace 4.7,2002,2003,Play River Runner,50,79,216,66,15.4,178,Planing
29,Wavesport,Ace 5.1,2002,2003,Play River Runner,68,91,224,67,16.3,193,Planing
30,Spade Kayaks,Ace of Spades,,,,64,109,262,64,22.5,320,
31,Spade Kayaks,Ace of Spades Pro,,Current,,64,109,262,64,22.0,320,
32,Soul Waterman,Acid Drop 77,,,Creek Boat,36,86,246,64,20.0,291,
33,Soul Waterman,Acid Drop 88,,,Creek Boat,54,109,257,65,21.8,333,
34,Pyranha,Acro Bat 270,1993,,Race Boat,40,88,269,59,16.0,167,Dbl Concave
35,Pyranha,Acro Bat 275,1993,,Race Boat,70,100,279,64,17.0,197,Dbl Concave
36,Pyranha,Acro Bat 300,1993,1996,,,,300,,,,Dbl Concave
37,Dagger,Agent 6.0,2007,2012,Play Boat,36,66,183,59,13.6,159,Planing
38,Dagger,Agent 6.2,2007,2012,Play Boat,57,86,188,64,14.5,189,Planing
39,Dagger,Agent 6.4,2007,2012,Play Boat,75,102,193,64,14.5,220,Planing
40,Riot Kayaks,Air 45,2002,,Play Boat,41,73,183,62,15.0,170,Planing
